station_id,wmo_id,latitude,longitude,elevation_m,site,state,country,site_type
ADJ,,58.58471989,-3.348169327,0,RAF Castletown,GB-SCT,Caithness,
UNLW,,58.586,76.504,246,Novy Vasyugan Airport,RU-TOM,Novy Vasyugan,
ESSP,,58.5862999,16.25060081,32,Norrköping Airport,SE-E,Norrköping,
ESFM,,58.5975,14.1109,0,Moholm Air Base,SE-Q,Moholm,
UEEA,,58.60279846,125.4089966,2241,Aldan Airport,RU-SA,Aldan,
SE-0027,,58.6033945,14.4544131,0,Flygebyns hoppövningsfält,SE-Q,,
NO-0026,,58.60472107,7.8125,602,Evje Airfield,NO-09,Evje og Hornnes,
ULNP,,58.608002,35.779999,0,Pestovo Airfield,RU-NGR,Pestovo,
ESCK,,58.61090088,16.10359955,90,Bråvalla Air Base,SE-E,Norrköping,
CEK7,,58.616694,-117.182999,1084,High Level/Footner Lake Seaplane Base,CA-AB,,
CZWH,,58.61750031,-101.4690018,1211,Lac Brochet Airport,CA-MB,Lac Brochet,
CYOJ,,58.62139893,-117.1650009,1110,High Level Airport,CA-AB,High Level,
RU-9345,,58.625,31.38500023,85,Krechevitsy Air Base,RU-NGR,Novgorod,
ESTF,,58.6300087,11.31445885,10,Fjällbacka Anra Airport,SE-Q,Fjällbacka,
CJX8,,58.633301,-103.583,1286,Hatchet Lake Seaplane Base,CA-SK,,
US-1262,,58.646294,-156.577764,4,Crystal Creek Lodge Seaplane Base,US-AK,King Salmon,
PAEH,,58.64640045,-162.0630035,541,Cape Newenham LRRS Airport,US-AK,Cape Newenham,
EE-1612,,58.66220093,25.58670044,200,Vohma Air Base,EE-51,Vohma,
CJL2,,58.66249847,-103.538002,1362,Hatchet Lake Airport,CA-SK,Hatchet Lake,
CYTQ,,58.6678009,-69.95580292,122,Tasiujaq Airport,CA-QC,Tasiujaq,
RU-0498,,58.672416,29.961654,150,Luga Bereg Airstrip,RU-LEN,,
GB-0962,,58.67286,-3.12724,0,Stroma Airstrip,GB-SCT,Orkney,
PAKN,,58.67679977,-156.6490021,73,King Salmon Airport,US-AK,King Salmon,
RU-0415,,58.679526,30.041597,214,Smychkovo Airfield,RU-LEN,Dzerzhinskogo,
RU-0162,,58.68242645,86.82374573,0,Maksimkin Yar Airport,RU-TOM,Maksimkin Yar,
CA-0133,,58.68333435,-114.9666672,0,Foggy Tower Airport,CA-AB,,
CA-0102,,58.70000076,-118.6833344,0,Crater Airport,CA-AB,,
CJJ7,,58.700004,-94.050004,46,Churchill Seaplane Base,CA-MB,Churchill,
PFWS,,58.70339966,-157.0079956,162,South Naknek Nr 2 Airport,US-AK,South Naknek,
CYBQ,,58.7061,-98.512199,923,Tadoule Lake Airport,CA-MB,Tadoule Lake,
8AK0,,58.710895,-156.994991,60,Diamond NN Cannery Airport,US-AK,South Naknek,
CYLU,,58.71139908,-65.99279785,215,Kangiqsualujjuaq (Georges River) Airport,CA-QC,Kangiqsualujjuaq,
